Timestamp,Key
1152,space
2076,space
3039,space
4024,space
4474,space
4955,space
5996,space
6929,space
7894,space
8934,space
9350,f
9825,space
10780,space
11261,f
11765,space
12731,space
13674,space
14617,space
15646,space
16075,space
16578,space
17512,space
17982,f
18488,space
18990,space
19469,space
19940,f
20413,space
20862,f
21335,space
21828,space
22323,space
22807,f
23320,space
24286,space
25188,space
26163,space
27109,space
27578,space
28062,space
28511,f
28982,space
29476,space
30004,space
30516,f
31029,space
31461,space
31965,space
32436,space
32650,space
32897,space
33337,f
33800,space
34023,space
34333,space
34602,f
34848,space
35290,space
35718,space
